sensor,psi,ks_stat,ks_pvalue,severity
sensor_433,0.6992685885751313,0.243379104071783,9.39512295712441e-13,significant
sensor_64,0.6736224334959795,0.2264122085514241,4.406372562944063e-11,significant
sensor_71,0.6704211854318838,0.315814696485623,2.7191457090432235e-21,significant
sensor_43,0.6640207320290363,0.2783563319964652,1.5634900410217305e-16,significant
sensor_119,0.6603327961030205,0.21634491197063432,4.2260562521653883e-10,significant
sensor_467,0.6566184649261446,0.14940860580517978,4.994252313091696e-05,significant
sensor_392,0.6549007610465564,0.24449731493440274,7.282604747365157e-13,significant
sensor_551,0.647344151807312,0.2388926653524573,3.142839086146427e-12,significant
sensor_62,0.6390758387987918,0.19670994493916122,1.8667822314840706e-08,significant
sensor_112,0.634077645237299,0.22856705866358507,2.7650899892976295e-11,significant
sensor_56,0.6242450354493793,0.210413975936374,1.258122635480465e-09,significant
sensor_557,0.6176447894053437,0.21972673509618645,2.1217765008360615e-10,significant
sensor_540,0.5923366425749113,0.20306573312487242,5.497112489974141e-09,significant
sensor_210,0.5891906085213394,0.22219087757460398,1.1030894697828275e-10,significant
sensor_477,0.5880499462580017,0.2593739378696214,1.9410289328289818e-14,significant
sensor_58,0.5851560538874375,0.22709537081095776,4.399545470351593e-11,significant
sensor_28,0.5849315015008374,0.3303344436136225,3.415808802121725e-23,significant
sensor_133,0.5845776624425162,0.20904425260009513,1.906890285293267e-09,significant
sensor_116,0.5833974807650337,0.2717150431649785,9.596748526885967e-16,significant
sensor_441,0.5824760433853485,0.17856365984637335,4.802462560122231e-07,significant
sensor_341,0.581514408690736,0.2507205492488613,1.7301080636867573e-13,significant
sensor_65,0.5808237669424758,0.15176738495003744,3.3277996027707116e-05,significant
sensor_72,0.570338547070131,0.20951328937529742,1.5551165537014172e-09,significant
sensor_131,0.5617544324188705,0.20821834001767386,1.9637832834269586e-09,significant
sensor_510,0.551804788556775,0.2976888042961049,6.144152466044947e-19,significant
sensor_420,0.5495317030214996,0.2657229284209094,3.846921580941953e-15,significant
sensor_348,0.5396066404829422,0.25394602678267963,7.621742942212546e-14,significant
sensor_16,0.5379277878808357,0.27331248725443547,5.473149111293303e-16,significant
